order,companyLink,companyName,documentNumber,,,,,,,,
1605620875-73,"1030 NORTH MIAMI AVENUE, LLC","1030 NORTH MIAMI AVENUE, LLC",L14000115167,,,,,,,,
1605620858-28,"112 NW 8 AVE, LLC","112 NW 8 AVE, LLC",L17000115031,,,,,,,,
1605620858-29,"112 NW 8 AVE, LLC","112 NW 8 AVE, LLC",L17000115031,,,,,,,,
1605620855-24,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620892-125,007 BONDS OF FT. MYERS INC.,007 BONDS OF FT. MYERS INC.,P03000059676,,,,,,,,
1605620850-7,"11CABARET, LLC","11CABARET, LLC",L16000069816,,,,,,,,
1605620887-112,"1001 ENTERPRISES, INC","1001 ENTERPRISES, INC",P11000103808,,,,,,,,
1605620877-81,"101 FAIRVIEW, LLC","101 FAIRVIEW, LLC",L20000256182,,,,,,,,
1605620860-35,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620882-93,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620850-11,"11CABARET, LLC","11CABARET, LLC",L16000069816,,,,,,,,
1605620847-1,"11USAGROUP, LLC","11USAGROUP, LLC",L13000147409,,,,,,,,
1605620875-76,"1030 NORTH MIAMI AVENUE, LLC","1030 NORTH MIAMI AVENUE, LLC",L14000115167,,,,,,,,
1605620892-121,007 BONDS OF FT. MYERS INC.,007 BONDS OF FT. MYERS INC.,P03000059676,,,,,,,,
1605620860-33,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620890-117,"1001 ENTERPRISES, LLC","1001 ENTERPRISES, LLC",L05000104185,,,,,,,,
1605620865-52,"10KKREATIONZ, LLC","10KKREATIONZ, LLC",L19000259043,,,,,,,,
1605620887-113,"1001 ENTERPRISES, INC","1001 ENTERPRISES, INC",P11000103808,,,,,,,,
1605620853-18,11601 BISCAYNE BLVD. CORP.,11601 BISCAYNE BLVD. CORP.,M08327,,,,,,,,
1605620895-130,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620890-115,"1001 ENTERPRISES, LLC","1001 ENTERPRISES, LLC",L05000104185,,,,,,,,
1605620868-57,"1090 NW N RIVER DRIVE 302, LLC","1090 NW N RIVER DRIVE 302, LLC",L15000096058,,,,,,,,
1605620880-88,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620880-90,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620895-133,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620863-44,1100 NORTH MIAMI AVENUE LLC,1100 NORTH MIAMI AVENUE LLC,L04000075562,,,,,,,,
1605620858-30,"112 NW 8 AVE, LLC","112 NW 8 AVE, LLC",L17000115031,,,,,,,,
1605620853-13,11601 BISCAYNE BLVD. CORP.,11601 BISCAYNE BLVD. CORP.,M08327,,,,,,,,
1605620882-97,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620860-38,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620895-134,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620885-104,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
1605620882-99,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620850-12,"11CABARET, LLC","11CABARET, LLC",L16000069816,,,,,,,,
1605620887-114,"1001 ENTERPRISES, INC","1001 ENTERPRISES, INC",P11000103808,,,,,,,,
1605620892-123,007 BONDS OF FT. MYERS INC.,007 BONDS OF FT. MYERS INC.,P03000059676,,,,,,,,
1605620863-46,1100 NORTH MIAMI AVENUE LLC,1100 NORTH MIAMI AVENUE LLC,L04000075562,,,,,,,,
1605620892-124,007 BONDS OF FT. MYERS INC.,007 BONDS OF FT. MYERS INC.,P03000059676,,,,,,,,
1605620885-107,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
1605620858-27,"112 NW 8 AVE, LLC","112 NW 8 AVE, LLC",L17000115031,,,,,,,,
1605620847-4,"11USAGROUP, LLC","11USAGROUP, LLC",L13000147409,,,,,,,,
1605620868-56,"1090 NW N RIVER DRIVE 302, LLC","1090 NW N RIVER DRIVE 302, LLC",L15000096058,,,,,,,,
1605620870-64,"1036 NORTH MIAMI AVENUE, LLC","1036 NORTH MIAMI AVENUE, LLC",L12000155812,,,,,,,,
1605620890-120,"1001 ENTERPRISES, LLC","1001 ENTERPRISES, LLC",L05000104185,,,,,,,,
1605620877-83,"101 FAIRVIEW, LLC","101 FAIRVIEW, LLC",L20000256182,,,,,,,,
1605620860-34,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620880-91,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620847-2,"11USAGROUP, LLC","11USAGROUP, LLC",L13000147409,,,,,,,,
1605620853-15,11601 BISCAYNE BLVD. CORP.,11601 BISCAYNE BLVD. CORP.,M08327,,,,,,,,
1605620895-128,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620847-3,"11USAGROUP, LLC","11USAGROUP, LLC",L13000147409,,,,,,,,
1605620885-103,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
1605620872-67,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620895-129,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620880-85,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620860-39,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620863-41,1100 NORTH MIAMI AVENUE LLC,1100 NORTH MIAMI AVENUE LLC,L04000075562,,,,,,,,
1605620877-82,"101 FAIRVIEW, LLC","101 FAIRVIEW, LLC",L20000256182,,,,,,,,
1605620853-14,11601 BISCAYNE BLVD. CORP.,11601 BISCAYNE BLVD. CORP.,M08327,,,,,,,,
1605620855-25,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620890-116,"1001 ENTERPRISES, LLC","1001 ENTERPRISES, LLC",L05000104185,,,,,,,,
1605620860-37,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620855-22,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620855-19,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620875-74,"1030 NORTH MIAMI AVENUE, LLC","1030 NORTH MIAMI AVENUE, LLC",L14000115167,,,,,,,,
1605620880-89,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620872-66,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620863-45,1100 NORTH MIAMI AVENUE LLC,1100 NORTH MIAMI AVENUE LLC,L04000075562,,,,,,,,
1605620863-43,1100 NORTH MIAMI AVENUE LLC,1100 NORTH MIAMI AVENUE LLC,L04000075562,,,,,,,,
1605620872-70,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620885-106,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
1605620882-94,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620865-47,"10KKREATIONZ, LLC","10KKREATIONZ, LLC",L19000259043,,,,,,,,
1605620853-16,11601 BISCAYNE BLVD. CORP.,11601 BISCAYNE BLVD. CORP.,M08327,,,,,,,,
1605620868-53,"1090 NW N RIVER DRIVE 302, LLC","1090 NW N RIVER DRIVE 302, LLC",L15000096058,,,,,,,,
1605620872-68,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620882-96,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620892-122,007 BONDS OF FT. MYERS INC.,007 BONDS OF FT. MYERS INC.,P03000059676,,,,,,,,
1605620858-32,"112 NW 8 AVE, LLC","112 NW 8 AVE, LLC",L17000115031,,,,,,,,
1605620880-92,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620887-109,"1001 ENTERPRISES, INC","1001 ENTERPRISES, INC",P11000103808,,,,,,,,
1605620895-127,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620870-60,"1036 NORTH MIAMI AVENUE, LLC","1036 NORTH MIAMI AVENUE, LLC",L12000155812,,,,,,,,
1605620882-98,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620877-80,"101 FAIRVIEW, LLC","101 FAIRVIEW, LLC",L20000256182,,,,,,,,
1605620865-50,"10KKREATIONZ, LLC","10KKREATIONZ, LLC",L19000259043,,,,,,,,
1605620855-26,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620887-111,"1001 ENTERPRISES, INC","1001 ENTERPRISES, INC",P11000103808,,,,,,,,
1605620890-118,"1001 ENTERPRISES, LLC","1001 ENTERPRISES, LLC",L05000104185,,,,,,,,
1605620850-8,"11CABARET, LLC","11CABARET, LLC",L16000069816,,,,,,,,
